label,label_id
EC:-.-.-.-,0
EC:2.7.11.1,1
EC:2.7.7.6,2
EC:3.6.4.12,3
EC:3.6.4.13,4
EC:2.3.2.27,5
EC:5.2.1.8,6
EC:7.1.1.2,7
EC:7.1.2.2,8
EC:3.1.26.4,9
EC:2.7.7.7,10
EC:6.1.1.20,11
EC:4.2.1.33,12
EC:6.1.1.17,13
EC:6.5.1.2,14
EC:4.2.1.20,15
EC:2.7.4.3,16
EC:2.5.1.75,17
EC:2.1.3.15,18
EC:2.1.1.199,19
EC:6.1.1.15,20
EC:3.1.1.29,21
EC:7.4.2.8,22
EC:6.1.1.11,23
EC:3.1.26.5,24
EC:3.1.3.16,25
EC:6.1.1.7,26
EC:6.1.1.16,27
EC:6.1.1.4,28
EC:6.3.4.4,29
EC:4.2.1.11,30
EC:2.3.1.234,31
EC:6.1.1.19,32
EC:3.1.11.6,33
EC:3.5.1.5,34
EC:2.1.2.1,35
EC:6.1.1.21,36
EC:2.1.2.9,37
EC:2.1.1.228,38
EC:3.4.19.12,39
EC:2.8.1.13,40
EC:2.7.2.3,41
EC:3.6.1.27,42
EC:2.4.1.227,43
EC:4.2.3.5,44
EC:5.3.1.1,45
EC:6.1.1.14,46
EC:2.7.13.3,47
EC:5.4.99.12,48
EC:6.3.2.4,49
EC:2.7.4.6,50
EC:2.7.7.8,51
EC:3.1.22.4,52
EC:2.7.4.9,53
EC:3.4.21.92,54
EC:5.4.2.10,55
EC:2.1.3.2,56
EC:2.7.7.3,57
EC:6.3.2.8,58
EC:6.1.1.3,59
EC:2.7.1.148,60
EC:5.3.1.16,61
EC:3.1.1.96,62
EC:3.6.1.9,63
EC:2.7.8.13,64
EC:2.4.2.7,65
EC:2.7.8.7,66
EC:5.4.3.8,67
EC:2.4.2.18,68
EC:5.4.99.25,69
EC:2.7.1.33,70
EC:6.3.5.7,71
EC:2.5.1.78,72
EC:4.1.1.23,73
EC:1.2.1.70,74
EC:2.1.1.33,75
EC:6.1.1.5,76
EC:2.1.1.182,77
EC:2.8.4.3,78
EC:3.1.3.5,79
EC:4.3.2.1,80
EC:6.3.4.2,81
EC:1.2.1.41,82
EC:2.5.1.19,83
EC:6.3.2.1,84
EC:1.15.1.1,85
EC:2.1.1.192,86
EC:2.8.1.8,87
EC:4.3.2.10,88
EC:4.3.3.7,89
EC:3.1.1.4,90
EC:5.3.1.9,91
EC:2.1.2.11,92
EC:2.5.1.6,93
