label,label_id
HCS,0
NMT,1
TE,2
AH,3
PPT,4
GTr,5
OAcE,6
GAT,7
A,8
CMT,9
KS,10
ECH,11
AT,12
T,13
PS,14
OMT,15
NR,16
ER,17
E,18
KR,19
AcDH,20
DH,21
FAS,22
C,23
